actual_price,predicted_price
6499999.999999999,16448959.498684712
17499999.999999985,12872509.911408892
6450999.999999998,8893437.946824647
20000000.000000015,14730177.728358753
35000000.000000015,15025762.539024796
60000000.0000001,26240916.349971388
12000000.000000007,24363237.650183875
67499999.99999988,55489986.540584385
8499999.999999998,8857124.899295578
15100000.000000026,8643029.975740124
2849999.999999999,6875014.340234904
5117750.000000002,5135711.951259988
3799999.9999999995,6083553.592413269
20000000.000000015,10687290.651925012
2300000.0,2241519.314273102
15000000.00000001,10915727.988565903
2589999.9999999995,3378415.5764652113
12000000.000000007,5369430.461663946
9.000000000000002,8.999999999999927
9124999.999999989,5950609.503338987
15499999.999999987,12256479.490856046
9.000000000000002,1460.6339262032166
36199999.99999996,22848455.66567993
12000000.000000007,6872448.466541715
2300000.0,3818206.0196188865
8000000.000000002,6087181.842795462
17999999.999999985,8072275.073502756
8999999.999999996,9045264.46316316
5100000.000000003,4947547.718806482
5199999.999999999,7009750.317392729
9500000.000000015,5669721.775176966
6999999.999999995,7356365.498546021
16299999.99999999,16624949.18180864
4000000.0000000005,6990767.0232613785
11100000.000000015,8832755.7974465
18400000.00000003,11642348.073031964
6200000.000000005,6821071.125262372
57000000.000000045,28294573.38827903
3499999.9999999995,3494039.4074115185
9.000000000000002,12.7967443802585
10499999.999999994,7172206.879223596
8499999.999999998,4805812.762933978
3200000.0000000023,3083284.1166830934
3499999.9999999995,4493797.111082907
3499999.9999999995,7527673.931723192
9.000000000000002,1029.390326420963
8599999.999999996,7050923.338176795
4500000.000000002,4541174.432909186
7500000.000000002,7539717.361351738
4000000.0000000005,5747816.481713337
9999999.999999996,9608826.478152348
16999999.999999974,18736405.35376002
3550000.0000000014,6294543.772551655
9999999.999999996,18659191.985891923
9.000000000000002,8.999999999999927
3000000.000000001,8.999999999999927
4000000.0000000005,6300574.523749842
9.000000000000002,8.999999999999936
2400000.000000001,3438205.3206445817
34499999.99999998,30778343.467915464
7900000.000000005,6298669.838056513
4500000.000000002,3477111.3055916713
30000000.00000005,31880941.936458837
18800000.0,19391502.439662382
3000000.000000001,2550.421542444562
8999999.999999996,5876030.267338735
18500000.000000034,23044594.047318216
19499999.99999998,7919399.340402067
22500000.00000001,7691153.005718092
12499999.999999985,10096882.911671277
3249999.9999999986,4972697.394312962
4999999.999999999,5172416.603870268
3900000.000000001,6073561.908394055
11000000.000000013,8385931.504067626
9.000000000000002,8.999999999999936
8000000.000000002,7972815.313494711
44999999.999999985,11006353.074590288
24200000.0,20422489.730384525
12499999.999999985,10779112.954128632
2499999.9999999995,2965824.0631453474
9.000000000000002,8.999999999999927
1800000.000000001,3457910.199102884
9900000.000000013,9478785.347292095
2499999.9999999995,3988681.610624934
6999999.999999995,11612168.356209215
9.000000000000002,8.99999999999993
7500000.000000002,6615314.5830768235
50000000.00000009,38236743.652476996
32499999.999999955,36358397.503632456
35000000.000000015,27996183.64326787
10100000.000000006,5527531.476333215
24999999.999999963,7931313.42032695
9.000000000000002,8.999999999999927
4599999.999999998,6353800.291173045
5500000.000000001,8296750.4209966045
13499999.999999993,9232573.236212978
3373999.999999997,3008995.537217528
8000000.000000002,7512894.812744389
22500000.00000001,24115707.232901827
8000000.000000002,5924308.023648141
15100000.000000026,19862829.82243345
7199999.9999999935,2551306.9129882827
39499999.999999985,10984455.69435353
3900000.000000001,6374776.290465251
2100000.000000001,2402907.1054514144
15000000.00000001,5260304.223301927
7500000.000000002,7763764.211468403
9.000000000000002,871.4529405262815
9.000000000000002,33609.82091800947
4199999.999999997,3083284.1166830934
6000000.0,13162719.809595462
15000000.00000001,13888180.898433302
7800000.000000004,13275963.609175531
2700000.0,4152383.6244378043
9.000000000000002,8.999999999999936
9700000.000000007,8180143.545592815
28500000.000000034,32947876.10469943
11000000.000000013,8377747.68619994
24999999.999999963,19179235.054546688
9299999.999999993,6990073.20862916
1600000.0000000012,2279601.95644699
15956250.000000007,12241637.992488224
20400000.000000007,8316731.664544134
12000000.000000007,7017541.550665646
8599999.999999996,10122471.071969172
8299999.999999997,9210458.68291774
37500000.0,14278181.44706664
10624999.999999985,8538297.500467435
1989999.9999999988,2789374.220330754
3899000.0000000023,3847066.584163229
4300000.000000002,3637171.4684142508
7000050.999999998,2351984.070392991
2599999.9999999986,2505167.7934683464
15111111.000000024,24330446.043528754
11000000.000000013,12806213.692165187
5100000.000000003,5014614.431925016
14000000.00000001,15821963.15663186
3867499.9999999995,3847066.584163229
10970000.000000002,10567079.388570897
9949999.999999983,8538297.500467435
4500000.000000002,7770651.773765384
8499999.999999998,13823938.062686792
13499999.999999993,9780096.244256988
8000000.000000002,15661032.73873424
8000000.000000002,7474762.179886908
2800000.000000002,2843694.4393156813
24999999.999999963,19172201.19736641
15199999.99999998,16384442.104898449
14000000.00000001,8129122.947535367
7800000.000000004,7629214.997055186
4799999.999999999,4343390.595514204
3799999.9999999995,2730701.057772752
2599999.9999999986,2807330.0611481788
5008000.000000002,4976039.473742741
7500000.000000002,7455806.070158052
6368999.999999998,6678434.944867905
25999999.999999985,21034317.793981716
36000000.000000045,31668542.472256538
